state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,params
2,162,,"{'loss': 8.289833717594279, 'status': 'ok'}","{'tid': 162, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [162], 'd_hidden': [162], 'learning_rate': [162], 'num_hidden_layers': [162], 'seasonality_reg': [162], 'trend_reg': [162]}, 'vals': {'ar_reg': [0.005720405104158394], 'd_hidden': [16.0], 'learning_rate': [0.0016803631524673769], 'num_hidden_layers': [1.0], 'seasonality_reg': [0.1901504865050422], 'trend_reg': [0.00017587794592950883]}}",,,0,2023-05-16 09:54:10.700,2023-05-16 09:54:55.420,8.289833717594279,"{'ar_reg': [0.005720405104158394], 'd_hidden': [16.0], 'learning_rate': [0.0016803631524673769], 'num_hidden_layers': [1.0], 'seasonality_reg': [0.1901504865050422], 'trend_reg': [0.00017587794592950883]}"
2,588,,"{'loss': 8.292140314400903, 'status': 'ok'}","{'tid': 588, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [588], 'd_hidden': [588], 'learning_rate': [588], 'num_hidden_layers': [588], 'seasonality_reg': [588], 'trend_reg': [588]}, 'vals': {'ar_reg': [0.002660696204155211], 'd_hidden': [13.0], 'learning_rate': [0.003493995612378864], 'num_hidden_layers': [14.0], 'seasonality_reg': [0.06326009792465259], 'trend_reg': [0.011091909375015613]}}",,,0,2023-05-16 15:13:41.450,2023-05-16 15:14:26.657,8.292140314400903,"{'ar_reg': [0.002660696204155211], 'd_hidden': [13.0], 'learning_rate': [0.003493995612378864], 'num_hidden_layers': [14.0], 'seasonality_reg': [0.06326009792465259], 'trend_reg': [0.011091909375015613]}"
2,118,,"{'loss': 8.292288566754854, 'status': 'ok'}","{'tid': 118, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [118], 'd_hidden': [118], 'learning_rate': [118], 'num_hidden_layers': [118], 'seasonality_reg': [118], 'trend_reg': [118]}, 'vals': {'ar_reg': [0.37502572682868307], 'd_hidden': [3.0], 'learning_rate': [0.000560500444468879], 'num_hidden_layers': [15.0], 'seasonality_reg': [4.726205259366178], 'trend_reg': [0.8456926832612778]}}",,,0,2023-05-16 09:21:02.290,2023-05-16 09:21:48.120,8.292288566754854,"{'ar_reg': [0.37502572682868307], 'd_hidden': [3.0], 'learning_rate': [0.000560500444468879], 'num_hidden_layers': [15.0], 'seasonality_reg': [4.726205259366178], 'trend_reg': [0.8456926832612778]}"
2,389,,"{'loss': 8.293748316587434, 'status': 'ok'}","{'tid': 389, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [389], 'd_hidden': [389], 'learning_rate': [389], 'num_hidden_layers': [389], 'seasonality_reg': [389], 'trend_reg': [389]}, 'vals': {'ar_reg': [0.00010077727782646695], 'd_hidden': [12.0], 'learning_rate': [0.0019864582160816187], 'num_hidden_layers': [10.0], 'seasonality_reg': [0.6819121431572691], 'trend_reg': [0.00938919221485076]}}",,,0,2023-05-16 12:44:23.398,2023-05-16 12:45:08.535,8.293748316587434,"{'ar_reg': [0.00010077727782646695], 'd_hidden': [12.0], 'learning_rate': [0.0019864582160816187], 'num_hidden_layers': [10.0], 'seasonality_reg': [0.6819121431572691], 'trend_reg': [0.00938919221485076]}"
2,174,,"{'loss': 8.298329695983707, 'status': 'ok'}","{'tid': 174, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [174], 'd_hidden': [174], 'learning_rate': [174], 'num_hidden_layers': [174], 'seasonality_reg': [174], 'trend_reg': [174]}, 'vals': {'ar_reg': [0.02183592895205061], 'd_hidden': [38.0], 'learning_rate': [0.004059523876802448], 'num_hidden_layers': [6.0], 'seasonality_reg': [0.0329960477748577], 'trend_reg': [0.0009618220988681041]}}",,,0,2023-05-16 10:03:10.721,2023-05-16 10:03:56.125,8.298329695983707,"{'ar_reg': [0.02183592895205061], 'd_hidden': [38.0], 'learning_rate': [0.004059523876802448], 'num_hidden_layers': [6.0], 'seasonality_reg': [0.0329960477748577], 'trend_reg': [0.0009618220988681041]}"
2,707,,"{'loss': 8.303006207158292, 'status': 'ok'}","{'tid': 707, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [707], 'd_hidden': [707], 'learning_rate': [707], 'num_hidden_layers': [707], 'seasonality_reg': [707], 'trend_reg': [707]}, 'vals': {'ar_reg': [0.0001295237770957095], 'd_hidden': [12.0], 'learning_rate': [0.001096216527226332], 'num_hidden_layers': [10.0], 'seasonality_reg': [0.001192707329881958], 'trend_reg': [0.0012285367056830683]}}",,,0,2023-05-16 16:51:53.672,2023-05-16 16:52:40.626,8.303006207158292,"{'ar_reg': [0.0001295237770957095], 'd_hidden': [12.0], 'learning_rate': [0.001096216527226332], 'num_hidden_layers': [10.0], 'seasonality_reg': [0.001192707329881958], 'trend_reg': [0.0012285367056830683]}"
2,124,,"{'loss': 8.305894330211236, 'status': 'ok'}","{'tid': 124, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [124], 'd_hidden': [124], 'learning_rate': [124], 'num_hidden_layers': [124], 'seasonality_reg': [124], 'trend_reg': [124]}, 'vals': {'ar_reg': [0.781140979675362], 'd_hidden': [17.0], 'learning_rate': [0.0026258269699678993], 'num_hidden_layers': [5.0], 'seasonality_reg': [0.018736029532136444], 'trend_reg': [0.019679461444655197]}}",,,0,2023-05-16 09:25:37.620,2023-05-16 09:26:23.459,8.305894330211236,"{'ar_reg': [0.781140979675362], 'd_hidden': [17.0], 'learning_rate': [0.0026258269699678993], 'num_hidden_layers': [5.0], 'seasonality_reg': [0.018736029532136444], 'trend_reg': [0.019679461444655197]}"
2,378,,"{'loss': 8.307273927587918, 'status': 'ok'}","{'tid': 378, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [378], 'd_hidden': [378], 'learning_rate': [378], 'num_hidden_layers': [378], 'seasonality_reg': [378], 'trend_reg': [378]}, 'vals': {'ar_reg': [0.00012105373374904413], 'd_hidden': [11.0], 'learning_rate': [0.001015668986502382], 'num_hidden_layers': [17.0], 'seasonality_reg': [0.7903000219076415], 'trend_reg': [0.0029145928410997395]}}",,,0,2023-05-16 12:36:08.908,2023-05-16 12:36:53.437,8.307273927587918,"{'ar_reg': [0.00012105373374904413], 'd_hidden': [11.0], 'learning_rate': [0.001015668986502382], 'num_hidden_layers': [17.0], 'seasonality_reg': [0.7903000219076415], 'trend_reg': [0.0029145928410997395]}"
2,422,,"{'loss': 8.307560165727548, 'status': 'ok'}","{'tid': 422, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [422], 'd_hidden': [422], 'learning_rate': [422], 'num_hidden_layers': [422], 'seasonality_reg': [422], 'trend_reg': [422]}, 'vals': {'ar_reg': [0.00021709306603447107], 'd_hidden': [14.0], 'learning_rate': [0.0007510919714241655], 'num_hidden_layers': [25.0], 'seasonality_reg': [0.01598628718717988], 'trend_reg': [0.0017428536297189228]}}",,,0,2023-05-16 13:09:08.688,2023-05-16 13:09:53.625,8.307560165727548,"{'ar_reg': [0.00021709306603447107], 'd_hidden': [14.0], 'learning_rate': [0.0007510919714241655], 'num_hidden_layers': [25.0], 'seasonality_reg': [0.01598628718717988], 'trend_reg': [0.0017428536297189228]}"
2,695,,"{'loss': 8.30763468169339, 'status': 'ok'}","{'tid': 695, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [695], 'd_hidden': [695], 'learning_rate': [695], 'num_hidden_layers': [695], 'seasonality_reg': [695], 'trend_reg': [695]}, 'vals': {'ar_reg': [0.00031855124526588966], 'd_hidden': [16.0], 'learning_rate': [0.0022940112776546396], 'num_hidden_layers': [16.0], 'seasonality_reg': [0.2281287347395636], 'trend_reg': [0.019233144212489044]}}",,,0,2023-05-16 16:42:27.443,2023-05-16 16:43:14.491,8.30763468169339,"{'ar_reg': [0.00031855124526588966], 'd_hidden': [16.0], 'learning_rate': [0.0022940112776546396], 'num_hidden_layers': [16.0], 'seasonality_reg': [0.2281287347395636], 'trend_reg': [0.019233144212489044]}"
