zipcode,RMSE,MSE,MAE,R2
72202.0,1.7150548335628135,2.94141308212717,1.3456705078482627,-0.08840447072235702
72206.0,1.4237424146385882,2.0270424632409174,1.1530371233820915,-0.2890572103280875
0.0,0.7736999674034069,0.5986116395600328,0.6288913201540709,-0.010581507038831539
72210.0,1.3380098064344916,1.790270242114866,1.0288999758660793,-0.023834290906544764
72204.0,2.638041990963748,6.959265546087974,2.263649731874466,-0.08656289173142961
72209.0,3.0017691349144213,9.010617939324874,2.3528520107269286,-0.2867715729132272
72103.0,1.2499490138281748,1.5623725371700266,0.9016634605824947,-1.842563137977038e-05
72227.0,1.2865404142803283,1.6551862375765984,0.9390382818877697,-0.16166157698105388
72002.0,0.35562176456170674,0.12646683942998196,0.17894115345552564,-0.013000966648165857
72211.0,2.158520180215303,4.659209368396704,1.7996514856815338,-0.0031940505227729954
72207.0,1.0678375474739548,1.1402770277951908,0.9070097982883454,-0.07068265520675188
72205.0,2.293273240155915,5.259102154015208,1.8921189934015274,0.04788396974067677
72201.0,1.3040269448416486,1.7004862728730443,1.0610691830515862,-0.000653930340886788
72223.0,1.3486137554972761,1.8187590615164666,1.1482283815741539,0.02967172443269528
72212.0,0.8297083625580308,0.6884159668987287,0.6632331505417823,0.06258251315917795
72122.0,0.15757771644909285,0.024830736721310705,0.02650030269287526,-0.018696891130695725
72114.0,0.12804987233310475,0.01639676980452442,0.08433308270759876,-0.3283459082146365
72019.0,0.11438888419580608,0.013084816827561532,0.019364751526154567,-0.06003579362523781
72118.0,0.19284675691875106,0.03718987165407986,0.03884485860180573,-0.030368738468013134
72117.0,0.22362630875619136,0.05000872596791942,0.051164948381483555,-0.052815283535146085
72116.0,0.15834431552089018,0.025072922257779223,0.02624542685225606,-0.028632708011455454
72120.0,0.11186339021631657,0.012513418070687909,0.01363354885252192,-0.013745261422817734
72076.0,0.40011598354277694,0.16009280028640377,0.36928960401564837,-11.969543314341568
72113.0,0.11327691188908183,0.012831658767126808,0.033039371145423456,-0.03952678619761474
72135.0,0.154643785171394,0.023914700292136257,0.054693097190465736,0.01888409057902518
