,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,rmse
117,0.5,1.00,1.00,multiplicative,10.100239
118,0.5,1.00,10.00,additive,10.533513
119,0.5,1.00,10.00,multiplicative,10.045716
120,0.5,10.0,0.01,additive,10.583288
121,0.5,10.0,0.01,multiplicative,10.065953
122,0.5,10.0,0.10,additive,10.572991
123,0.5,10.0,0.10,multiplicative,10.013961
124,0.5,10.0,1.00,additive,10.520265
125,0.5,10.0,1.00,multiplicative,10.075205
126,0.5,10.0,10.00,additive,10.519870
127,0.5,10.0,10.00,multiplicative,10.064839
