ds,y,AWND_x,PRCP_x,SNWD_x,SNOW_x,TMAX_x,TMIN_x,AWND_y,PRCP_y,SNWD_y,SNOW_y,TMAX_y,TMIN_y
2017-01-31,44,7.61,0.0,0.0,0.0,75.0,38.0,7.61,0.0,0.0,0.0,75.0,38.0
2017-02-01,53,8.05,0.0,0.0,0.0,67.0,45.0,8.05,0.0,0.0,0.0,67.0,45.0
2017-02-02,47,14.09,0.0,0.0,0.0,52.0,37.0,14.09,0.0,0.0,0.0,52.0,37.0
2017-02-03,46,9.84,0.0,0.0,0.0,48.0,31.0,9.84,0.0,0.0,0.0,48.0,31.0
2017-02-04,47,6.04,0.0,0.0,0.0,42.0,24.0,6.04,0.0,0.0,0.0,42.0,24.0
2017-02-05,38,4.47,0.0,0.0,0.0,57.0,39.0,4.47,0.0,0.0,0.0,57.0,39.0
2017-02-06,49,9.17,0.0,0.0,0.0,73.0,50.0,9.17,0.0,0.0,0.0,73.0,50.0
2017-02-07,40,10.07,0.78,0.0,0.0,80.0,54.0,10.07,0.78,0.0,0.0,80.0,54.0
2017-02-08,41,8.05,0.0,0.0,0.0,74.0,35.0,8.05,0.0,0.0,0.0,74.0,35.0
2017-02-09,46,6.71,0.0,0.0,0.0,46.0,29.0,6.71,0.0,0.0,0.0,46.0,29.0
2017-02-10,45,11.41,0.0,0.0,0.0,71.0,32.0,11.41,0.0,0.0,0.0,71.0,32.0
2017-02-11,51,13.65,0.0,0.0,0.0,79.0,63.0,13.65,0.0,0.0,0.0,79.0,63.0
2017-02-12,38,11.18,0.0,0.0,0.0,72.0,50.0,11.18,0.0,0.0,0.0,72.0,50.0
2017-02-13,40,9.17,0.0,0.0,0.0,56.0,39.0,9.17,0.0,0.0,0.0,56.0,39.0
2017-02-14,50,9.84,0.65,0.0,0.0,50.0,39.0,9.84,0.65,0.0,0.0,50.0,39.0
2017-02-15,42,9.17,0.0,0.0,0.0,57.0,38.0,9.17,0.0,0.0,0.0,57.0,38.0
2017-02-16,43,5.82,0.0,0.0,0.0,64.0,31.0,5.82,0.0,0.0,0.0,64.0,31.0
2017-02-17,47,6.71,0.0,0.0,0.0,69.0,35.0,6.71,0.0,0.0,0.0,69.0,35.0
2017-02-18,53,4.47,0.0,0.0,0.0,65.0,48.0,4.47,0.0,0.0,0.0,65.0,48.0
2017-02-19,46,4.47,0.0,0.0,0.0,76.0,45.0,4.47,0.0,0.0,0.0,76.0,45.0
2017-02-20,44,7.16,1.11,0.0,0.0,79.0,50.0,7.16,1.11,0.0,0.0,79.0,50.0
2017-02-21,38,4.92,0.62,0.0,0.0,62.0,57.0,4.92,0.62,0.0,0.0,62.0,57.0
2017-02-22,47,4.25,0.0,0.0,0.0,62.0,51.0,4.25,0.0,0.0,0.0,62.0,51.0
2017-02-23,51,7.61,0.0,0.0,0.0,79.0,47.0,7.61,0.0,0.0,0.0,79.0,47.0
2017-02-24,45,14.32,0.0,0.0,0.0,70.0,47.0,14.32,0.0,0.0,0.0,70.0,47.0
2017-02-25,35,8.72,0.0,0.0,0.0,52.0,32.0,8.72,0.0,0.0,0.0,52.0,32.0
2017-02-26,41,5.82,0.37,0.0,0.0,59.0,31.0,5.82,0.37,0.0,0.0,59.0,31.0
2017-02-27,50,7.38,0.0,0.0,0.0,59.0,43.0,7.38,0.0,0.0,0.0,59.0,43.0
2017-02-28,38,13.2,0.0,0.0,0.0,81.0,57.0,13.2,0.0,0.0,0.0,81.0,57.0
2017-03-01,66,14.76,0.48,0.0,0.0,70.0,45.0,14.76,0.48,0.0,0.0,70.0,45.0
2017-03-02,48,6.04,0.0,0.0,0.0,62.0,35.0,6.04,0.0,0.0,0.0,62.0,35.0
2017-03-03,35,5.59,0.0,0.0,0.0,59.0,36.0,5.59,0.0,0.0,0.0,59.0,36.0
2017-03-04,33,7.61,0.0,0.0,0.0,70.0,35.0,7.61,0.0,0.0,0.0,70.0,35.0
2017-03-05,25,9.62,0.35,0.0,0.0,59.0,47.0,9.62,0.35,0.0,0.0,59.0,47.0
2017-03-06,41,14.76,0.33,0.0,0.0,72.0,53.0,14.76,0.33,0.0,0.0,72.0,53.0
2017-03-07,45,11.18,1.27,0.0,0.0,68.0,41.0,11.18,1.27,0.0,0.0,68.0,41.0
2017-03-08,37,6.71,0.0,0.0,0.0,69.0,36.0,6.71,0.0,0.0,0.0,69.0,36.0
2017-03-09,39,6.49,0.0,0.0,0.0,73.0,44.0,6.49,0.0,0.0,0.0,73.0,44.0
2017-03-10,33,12.3,0.01,0.0,0.0,65.0,44.0,12.3,0.01,0.0,0.0,65.0,44.0
2017-03-11,45,13.87,0.2,0.0,0.0,46.0,34.0,13.87,0.2,0.0,0.0,46.0,34.0
2017-03-12,27,8.5,0.0,0.0,0.0,50.0,31.0,8.5,0.0,0.0,0.0,50.0,31.0
2017-03-13,33,10.07,0.22,0.0,0.0,56.0,32.0,10.07,0.22,0.0,0.0,56.0,32.0
2017-03-14,37,9.17,0.0,0.0,0.0,45.0,35.0,9.17,0.0,0.0,0.0,45.0,35.0
2017-03-15,54,8.05,0.0,0.0,0.0,44.0,28.0,8.05,0.0,0.0,0.0,44.0,28.0
2017-03-16,36,8.05,0.0,0.0,0.0,51.0,39.0,8.05,0.0,0.0,0.0,51.0,39.0
2017-03-17,42,9.62,0.0,0.0,0.0,76.0,49.0,9.62,0.0,0.0,0.0,76.0,49.0
2017-03-18,39,4.03,0.0,0.0,0.0,79.0,53.0,4.03,0.0,0.0,0.0,79.0,53.0
2017-03-19,37,6.71,0.0,0.0,0.0,75.0,49.0,6.71,0.0,0.0,0.0,75.0,49.0
2017-03-20,48,9.62,0.0,0.0,0.0,85.0,52.0,9.62,0.0,0.0,0.0,85.0,52.0
2017-03-21,35,8.28,0.0,0.0,0.0,86.0,54.0,8.28,0.0,0.0,0.0,86.0,54.0
2017-03-22,34,12.53,0.0,0.0,0.0,64.0,48.0,12.53,0.0,0.0,0.0,64.0,48.0
2017-03-23,44,8.5,0.0,0.0,0.0,83.0,45.0,8.5,0.0,0.0,0.0,83.0,45.0
2017-03-24,55,13.2,0.67,0.0,0.0,77.0,58.0,13.2,0.67,0.0,0.0,77.0,58.0
2017-03-25,33,10.07,0.04,0.0,0.0,72.0,50.0,10.07,0.04,0.0,0.0,72.0,50.0
2017-03-26,32,5.82,0.0,0.0,0.0,77.0,45.0,5.82,0.0,0.0,0.0,77.0,45.0
2017-03-27,53,10.51,0.22,0.0,0.0,81.0,56.0,10.51,0.22,0.0,0.0,81.0,56.0
2017-03-28,42,9.17,0.0,0.0,0.0,76.0,53.0,9.17,0.0,0.0,0.0,76.0,53.0
2017-03-29,46,11.41,0.08,0.0,0.0,81.0,57.0,11.41,0.08,0.0,0.0,81.0,57.0
2017-03-30,57,12.75,0.0,0.0,0.0,66.0,53.0,12.75,0.0,0.0,0.0,66.0,53.0
2017-03-31,43,6.04,0.0,0.0,0.0,75.0,46.0,6.04,0.0,0.0,0.0,75.0,46.0
2017-04-01,43,11.41,0.0,0.0,0.0,71.0,50.0,11.41,0.0,0.0,0.0,71.0,50.0
2017-04-02,36,8.72,1.48,0.0,0.0,70.0,54.0,8.72,1.48,0.0,0.0,70.0,54.0
2017-04-03,50,11.18,0.04,0.0,0.0,75.0,55.0,11.18,0.04,0.0,0.0,75.0,55.0
2017-04-04,38,7.61,0.0,0.0,0.0,82.0,51.0,7.61,0.0,0.0,0.0,82.0,51.0
2017-04-05,40,12.53,0.0,0.0,0.0,70.0,46.0,12.53,0.0,0.0,0.0,70.0,46.0
2017-04-06,45,12.53,0.0,0.0,0.0,68.0,44.0,12.53,0.0,0.0,0.0,68.0,44.0
2017-04-07,44,5.37,0.0,0.0,0.0,70.0,42.0,5.37,0.0,0.0,0.0,70.0,42.0
2017-04-08,23,8.05,0.0,0.0,0.0,79.0,44.0,8.05,0.0,0.0,0.0,79.0,44.0
2017-04-09,29,13.2,0.0,0.0,0.0,81.0,58.0,13.2,0.0,0.0,0.0,81.0,58.0
2017-04-10,35,9.62,0.39,0.0,0.0,76.0,62.0,9.62,0.39,0.0,0.0,76.0,62.0
2017-04-11,43,5.59,0.0,0.0,0.0,66.0,53.0,5.59,0.0,0.0,0.0,66.0,53.0
2017-04-12,39,5.14,0.0,0.0,0.0,77.0,51.0,5.14,0.0,0.0,0.0,77.0,51.0
2017-04-13,41,3.36,0.0,0.0,0.0,83.0,57.0,3.36,0.0,0.0,0.0,83.0,57.0
2017-04-14,49,5.82,0.0,0.0,0.0,83.0,61.0,5.82,0.0,0.0,0.0,83.0,61.0
2017-04-15,50,8.95,0.0,0.0,0.0,81.0,60.0,8.95,0.0,0.0,0.0,81.0,60.0
